timestamp,deal_id,region,deal_amount,loss_probability,alert_type
2026-02-14 18:01:20.644665,D00022,Europe,75444,0.51,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.647635,D00032,Europe,66357,0.51,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.648099,D00036,North America,65309,0.51,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.648299,D00038,APAC,59363,0.53,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.648924,D00045,India,52406,0.5,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.652309,D00058,Europe,77091,0.52,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.652590,D00060,North America,56211,0.55,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.655859,D00072,North America,60319,0.51,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.656048,D00074,North America,95392,0.53,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.661089,D00098,North America,59608,0.53,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.668546,D00129,Europe,52472,0.53,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.670230,D00147,APAC,60642,0.51,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.673494,D00159,North America,73665,0.54,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.673703,D00161,Europe,65353,0.53,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.673808,D00162,Europe,85873,0.51,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.674165,D00166,Europe,68567,0.5,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.676804,D00171,North America,79028,0.5,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.677132,D00174,APAC,64089,0.5,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.677243,D00175,APAC,60327,0.55,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.677538,D00178,India,82701,0.51,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.677645,D00179,APAC,54650,0.54,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.678215,D00186,APAC,59110,0.51,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.680806,D00191,APAC,60760,0.56,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.681255,D00196,North America,65158,0.52,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.681480,D00198,North America,71518,0.52,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.681679,D00200,North America,74950,0.55,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.681853,D00202,Europe,61799,0.51,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.682366,D00208,India,51797,0.52,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.685743,D00222,North America,99320,0.5,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.688625,D00231,APAC,58200,0.54,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.689666,D00243,North America,61078,0.51,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.689779,D00244,APAC,58986,0.52,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.690217,D00249,North America,84921,0.51,HIGH_RISK_HIGH_VALUE
2026-02-14 18:01:20.692851,D00255,India,87582,0.51,HIGH_RISK_HIGH_VALUE
